,payment_date,card_type,amount_spent
99,2021-03-27 13:12:28,jcb,9351
100,2021-07-10 18:44:41,jcb,4214
101,2021-10-10 23:45:31,visa,9601
102,2021-05-16 05:34:03,jcb,9811
103,2021-11-08 14:17:12,americanexpress,5597
104,2021-01-08 11:55:59,visa-electron,4919
105,2021-09-12 19:07:42,laser,4983
106,2021-11-21 06:09:36,maestro,4959
107,2021-10-25 03:51:38,diners-club-carte-blanche,1726
108,2021-08-23 06:48:35,visa,8521
109,2021-08-16 20:54:56,diners-club-carte-blanche,1198
110,2021-06-25 16:31:39,jcb,5813
111,2021-05-06 12:49:42,switch,2827
112,2021-12-08 21:12:37,jcb,4336
113,2021-04-21 10:04:48,diners-club-carte-blanche,9950
114,2021-02-25 10:42:45,china-unionpay,6846
115,2021-07-07 14:52:05,diners-club-carte-blanche,2215
116,2021-04-03 13:36:41,china-unionpay,7123
117,2021-06-12 15:58:08,jcb,5105
118,2021-11-03 23:35:09,switch,6860
119,2021-12-22 00:26:56,diners-club-enroute,9720
120,2021-02-02 11:27:31,switch,995
121,2021-06-14 13:41:29,mastercard,8603
122,2021-05-14 15:44:11,diners-club-carte-blanche,4454
123,2021-04-30 22:55:24,visa-electron,6056
124,2021-05-27 22:09:39,diners-club-carte-blanche,549
125,2021-02-21 20:15:37,visa-electron,3772
126,2021-04-22 03:24:41,jcb,3919
127,2021-10-26 22:16:13,switch,4042
128,2021-01-19 22:49:34,jcb,5629
129,2021-07-09 01:44:46,diners-club-carte-blanche,1803
130,2021-05-04 23:59:19,jcb,2903
131,2021-10-11 20:42:28,mastercard,8586
132,2021-07-20 09:26:37,jcb,6365
133,2021-10-19 13:19:38,visa-electron,9194
134,2021-07-06 10:24:55,instapayment,5227
135,2021-05-02 12:30:59,visa-electron,977
136,2021-09-07 15:02:40,jcb,8492
137,2021-09-02 06:29:28,china-unionpay,946
138,2021-06-12 04:04:48,laser,7725
139,2021-03-11 20:20:22,laser,4629
140,2021-09-03 18:23:53,solo,3436
141,2021-10-26 21:25:30,jcb,6212
142,2021-06-04 19:31:52,visa,8920
143,2021-05-06 05:25:06,jcb,3714
144,2021-10-20 16:16:08,jcb,6067
145,2021-11-30 15:12:53,jcb,6087
146,2021-03-29 09:09:14,jcb,8851
147,2021-04-23 17:21:19,mastercard,7493
148,2021-12-29 05:36:19,jcb,6463
149,2021-02-11 17:21:34,diners-club-international,4736
150,2021-09-13 14:18:23,jcb,3148
151,2021-12-22 00:36:17,jcb,5946
152,2021-03-05 10:44:18,bankcard,371
153,2021-06-29 09:47:50,jcb,5243
154,2021-12-29 22:12:06,jcb,4657
155,2021-12-29 00:04:30,mastercard,5044
156,2021-01-22 10:31:48,diners-club-carte-blanche,1622
157,2021-01-13 18:37:57,jcb,7192
158,2021-07-31 03:20:26,jcb,7129
159,2021-07-31 14:32:13,solo,6778
160,2021-04-12 12:35:56,instapayment,8736
161,2021-05-08 19:43:00,laser,7386
162,2021-02-13 06:51:33,jcb,1921
163,2021-08-11 13:25:22,switch,5485
164,2021-07-15 04:15:26,jcb,8294
165,2021-07-17 07:28:06,solo,4774
166,2021-12-01 05:09:38,jcb,7682
167,2021-09-16 16:46:49,laser,3921
168,2021-07-04 12:58:40,china-unionpay,2291
169,2021-09-12 20:17:27,switch,6272
170,2021-10-08 17:53:21,maestro,1271
171,2021-05-09 13:46:21,jcb,4843
172,2021-02-01 09:59:12,bankcard,1611
173,2021-12-11 13:56:30,visa,3143
174,2021-08-01 08:40:19,jcb,4491
175,2021-09-17 11:05:20,jcb,8323
176,2021-07-24 19:56:11,jcb,7406
177,2021-09-10 06:58:06,bankcard,8309
178,2021-04-07 06:22:21,switch,1712
179,2021-10-12 03:28:48,diners-club-carte-blanche,3313
180,2021-08-23 07:32:39,jcb,4467
181,2021-11-19 14:16:21,diners-club-enroute,4702
182,2021-01-09 14:52:19,jcb,5071
183,2021-11-19 12:08:17,china-unionpay,5332
184,2021-02-14 20:06:37,jcb,3625
185,2021-07-03 18:57:53,maestro,1713
186,2021-01-12 14:06:41,switch,6622
187,2021-02-18 14:05:31,jcb,5876
188,2021-04-26 08:34:09,china-unionpay,4641
189,2021-02-10 14:00:54,instapayment,2401
190,2021-12-24 20:42:45,maestro,6850
191,2021-08-05 18:38:25,mastercard,2805
192,2021-12-20 00:15:45,mastercard,5089
193,2021-10-29 14:49:40,jcb,3821
194,2021-10-23 04:13:59,visa-electron,5879
195,2021-01-04 07:44:59,americanexpress,3196
196,2021-05-31 06:33:14,instapayment,4869
197,2021-09-15 00:52:29,switch,6834
198,2021-10-08 05:30:51,switch,5138
199,2021-03-26 23:24:48,jcb,2836
200,2021-10-30 05:21:28,switch,3414
201,2021-03-21 18:20:56,jcb,6919
202,2021-10-04 05:36:27,diners-club-enroute,9106
203,2021-06-08 21:38:09,jcb,5805
204,2021-12-21 16:40:24,china-unionpay,9361
205,2021-12-23 10:01:27,mastercard,8168
206,2021-01-09 00:57:25,mastercard,1555
207,2021-11-21 12:13:06,jcb,8001
208,2021-04-07 09:42:41,jcb,5832
209,2021-05-26 19:36:01,diners-club-enroute,1712
210,2021-03-19 13:50:20,switch,3635
211,2021-01-20 08:23:04,switch,6213
212,2021-05-29 11:40:31,jcb,6629
213,2021-01-31 22:11:57,jcb,3036
214,2021-11-14 13:27:23,mastercard,3817
215,2021-01-03 14:24:01,mastercard,6327
216,2021-02-20 09:12:07,americanexpress,5258
217,2021-01-11 18:22:12,jcb,8748
218,2021-10-23 03:23:50,jcb,2790
219,2021-02-18 20:30:47,diners-club-carte-blanche,8226
220,2021-07-26 21:56:19,bankcard,6567
221,2021-09-22 18:38:59,jcb,2456
222,2021-03-14 10:22:15,jcb,5629
223,2021-03-02 04:05:22,mastercard,7822
224,2021-01-21 18:26:17,jcb,8364
225,2021-03-25 05:59:12,jcb,7315
226,2021-07-09 06:08:01,diners-club-enroute,3252
227,2021-08-20 22:44:02,jcb,8019
228,2021-03-24 14:42:35,jcb,117
229,2021-07-08 16:19:06,maestro,7849
230,2021-04-02 13:21:07,jcb,6758
231,2021-03-16 16:58:26,switch,6293
232,2021-06-17 10:22:38,visa-electron,478
233,2021-10-22 21:42:53,laser,5420
234,2021-01-08 11:13:33,jcb,9753
235,2021-11-27 18:05:09,maestro,8417
236,2021-06-02 17:39:17,americanexpress,6220
237,2021-03-13 03:16:11,mastercard,2882
238,2021-04-14 10:19:19,maestro,4069
239,2021-05-23 09:30:23,mastercard,6334
240,2021-05-23 20:03:28,jcb,4055
241,2021-02-09 00:51:08,jcb,2929
242,2021-07-14 02:07:55,jcb,4625
243,2021-09-20 08:42:38,maestro,2845
244,2021-07-16 17:42:39,visa,112
245,2021-05-24 08:54:58,maestro,9695
246,2021-11-14 11:07:27,instapayment,7488
247,2021-11-01 13:26:35,laser,1431
248,2021-01-12 09:07:19,mastercard,3392
249,2021-12-25 02:51:22,jcb,5081
250,2021-03-26 07:01:42,diners-club-international,1296
251,2021-12-17 05:01:40,diners-club-carte-blanche,9703
252,2021-11-08 19:00:33,bankcard,9015
253,2021-07-23 14:04:32,jcb,7847
254,2021-06-20 04:26:12,maestro,2197
255,2021-08-19 21:09:38,jcb,4161
256,2021-10-21 18:02:47,laser,3628
257,2021-01-04 06:08:56,maestro,1273
258,2021-07-18 11:21:13,jcb,7155
259,2021-08-13 06:22:29,jcb,4336
260,2021-01-17 12:02:59,visa-electron,3681
261,2021-11-07 12:52:51,mastercard,3199
262,2021-09-26 18:12:42,mastercard,7669
263,2021-03-14 14:03:42,americanexpress,113
264,2021-10-24 09:00:43,jcb,9612
265,2021-12-24 14:45:36,china-unionpay,4430
266,2021-05-22 18:21:07,maestro,8755
267,2021-12-08 23:21:42,jcb,3003
268,2021-02-17 12:52:25,mastercard,9905
269,2021-10-07 01:22:40,china-unionpay,5935
270,2021-12-10 00:11:32,jcb,8850
271,2021-04-13 23:19:05,visa,2770
272,2021-10-26 06:09:02,jcb,1066
273,2021-07-01 00:43:52,jcb,2960
274,2021-04-17 01:34:24,jcb,5942
275,2021-12-08 19:24:35,jcb,3973
276,2021-12-02 16:36:40,maestro,8227
277,2021-11-04 12:23:16,jcb,6066
278,2021-04-13 06:58:03,visa-electron,3409
279,2021-02-25 02:30:37,jcb,9812
280,2021-04-21 02:01:53,jcb,5150
281,2021-01-21 08:44:12,jcb,2388
282,2021-05-15 15:24:28,jcb,809
283,2021-06-19 21:59:57,jcb,498
284,2021-05-12 00:41:28,jcb,8507
285,2021-02-04 13:27:38,jcb,7899
286,2021-01-04 21:14:16,bankcard,3318
287,2021-08-03 14:50:37,jcb,232
288,2021-07-07 08:52:41,americanexpress,3720
289,2021-06-18 20:35:24,visa-electron,1303
290,2021-03-31 09:26:41,jcb,7224
291,2021-01-02 04:38:42,switch,7973
292,2021-10-16 04:34:48,jcb,3446
293,2021-08-13 17:29:49,mastercard,1844
294,2021-09-21 04:29:51,jcb,2836
295,2021-10-06 19:14:37,maestro,3426
296,2021-11-24 10:27:51,jcb,5095
297,2021-06-11 02:31:44,jcb,6223
298,2021-11-22 20:46:23,mastercard,3229
299,2021-02-25 14:17:24,americanexpress,6753
300,2021-09-15 16:41:29,maestro,834
301,2021-11-19 03:06:42,jcb,9526
302,2021-07-06 07:53:52,jcb,8879
303,2021-06-27 16:11:06,jcb,9066
304,2021-08-25 21:24:38,maestro,5956
305,2021-06-13 08:04:29,diners-club-carte-blanche,6954
306,2021-08-24 08:36:43,jcb,7840
307,2021-07-26 11:40:18,laser,8711
308,2021-02-22 23:34:27,maestro,335
309,2021-04-28 01:06:21,diners-club-enroute,7483
310,2021-02-07 23:27:54,laser,2474
311,2021-04-08 02:34:11,jcb,7503
312,2021-01-17 15:00:42,china-unionpay,8190
313,2021-05-17 12:29:21,jcb,7200
314,2021-07-01 04:44:27,visa-electron,7473
315,2021-08-07 21:39:26,jcb,3762
316,2021-10-15 02:00:28,jcb,381
317,2021-12-12 19:14:40,jcb,9394
318,2021-10-05 07:14:04,jcb,1850
319,2021-01-18 16:50:40,maestro,9716
320,2021-02-22 13:29:35,jcb,6208
321,2021-01-21 14:22:04,maestro,2146
322,2021-02-20 17:53:48,mastercard,8843
323,2021-12-10 13:02:11,jcb,1391
324,2021-12-06 00:35:37,diners-club-international,3628
325,2021-04-25 00:42:11,jcb,6710
326,2021-11-16 05:04:52,laser,911
327,2021-06-29 13:41:37,mastercard,4400
328,2021-10-22 14:45:36,laser,7599
329,2021-11-07 18:30:22,americanexpress,4462
330,2021-12-20 10:42:20,jcb,4449
331,2021-05-14 18:15:54,jcb,754
332,2021-12-21 02:40:38,diners-club-international,8992
333,2021-03-29 13:18:33,jcb,6785
334,2021-08-07 10:45:47,china-unionpay,1607
335,2021-07-16 03:56:08,jcb,2637
336,2021-01-15 09:39:48,jcb,2617
337,2021-04-16 01:32:04,jcb,8428
338,2021-12-19 17:44:50,jcb,2728
339,2021-10-11 00:00:04,americanexpress,7971
340,2021-02-04 10:01:55,mastercard,8367
341,2021-02-02 12:12:48,jcb,3062
342,2021-07-08 15:22:32,americanexpress,588
343,2021-08-18 14:36:49,diners-club-carte-blanche,5172
344,2021-05-07 04:58:08,jcb,8648
345,2021-01-11 04:37:40,jcb,3512
346,2021-02-11 12:16:01,jcb,5488
347,2021-09-30 01:39:06,maestro,7548
348,2021-08-16 20:16:25,jcb,7810
349,2021-06-07 01:10:49,americanexpress,5822
350,2021-09-05 15:45:21,diners-club-carte-blanche,1872
351,2021-07-25 21:24:51,jcb,4657
352,2021-12-01 16:38:36,jcb,4102
353,2021-05-17 20:00:32,jcb,7250
354,2021-03-05 02:24:34,visa-electron,5446
355,2021-04-26 23:53:42,mastercard,9174
356,2021-01-15 09:31:58,diners-club-international,5548
357,2021-09-20 13:36:13,jcb,1836
358,2021-05-12 11:04:44,jcb,8640
359,2021-01-01 21:42:02,mastercard,4203
360,2021-07-30 14:29:01,solo,9722
361,2021-10-10 11:17:22,bankcard,5377
362,2021-12-20 11:34:44,laser,4255
363,2021-02-20 18:03:11,solo,2147
364,2021-08-17 14:31:10,jcb,7761
365,2021-08-30 06:04:17,mastercard,4768
366,2021-04-07 17:53:58,diners-club-enroute,8947
367,2021-07-29 13:15:41,diners-club-enroute,2843
368,2021-04-30 03:07:56,bankcard,220
369,2021-11-27 16:36:29,mastercard,4432
370,2021-09-28 05:19:36,diners-club-carte-blanche,6840
371,2021-03-23 21:56:06,jcb,4808
372,2021-05-12 20:10:10,china-unionpay,673
373,2021-03-29 19:06:36,diners-club-carte-blanche,1709
374,2021-03-18 18:41:43,jcb,2564
375,2021-06-23 22:22:11,jcb,8378
376,2021-02-28 11:00:01,mastercard,7221
377,2021-06-22 00:58:24,switch,4076
378,2021-01-25 02:37:27,jcb,6524
379,2021-03-25 06:47:35,jcb,6158
380,2021-05-23 20:00:25,jcb,8538
381,2021-01-03 01:07:57,maestro,7300
382,2021-10-15 11:44:21,jcb,1592
383,2021-11-11 22:09:24,mastercard,943
384,2021-03-20 06:36:59,jcb,7301
385,2021-10-06 00:15:54,diners-club-enroute,9919
386,2021-08-13 13:36:41,jcb,4928
387,2021-09-19 18:15:12,instapayment,1151
388,2021-10-21 10:27:29,solo,3071
389,2021-04-27 10:54:55,jcb,8166
390,2021-07-25 08:10:00,jcb,8097
391,2021-08-30 17:21:40,jcb,634
392,2021-04-29 09:06:41,visa-electron,2415
393,2021-11-02 23:48:54,maestro,6564
394,2021-07-15 00:07:39,jcb,8488
395,2021-10-04 00:48:13,jcb,1512
396,2021-07-20 07:34:55,visa-electron,287
397,2021-12-08 19:10:18,jcb,8610
398,2021-02-07 19:20:56,jcb,7530
399,2021-12-01 12:46:19,jcb,1419
400,2021-08-08 06:26:51,jcb,154
401,2021-11-30 16:25:50,jcb,5863
402,2021-05-18 06:15:33,mastercard,3553
403,2021-04-05 23:36:43,jcb,1032
404,2021-05-20 16:23:58,jcb,9826
405,2021-06-14 19:36:01,jcb,7907
406,2021-07-28 08:28:44,maestro,9594
407,2021-10-13 01:26:57,jcb,1013
408,2021-12-28 00:07:27,visa,2137
409,2021-04-07 08:17:47,diners-club-enroute,5577
410,2021-10-10 05:53:51,jcb,3019
411,2021-04-20 16:04:32,jcb,5892
412,2021-10-04 08:58:40,maestro,242
413,2021-12-13 10:28:45,visa,6648
414,2021-02-09 10:27:33,jcb,5163
415,2021-02-11 10:48:03,maestro,6506
416,2021-05-24 10:53:00,mastercard,3802
417,2021-10-18 09:39:16,jcb,9590
418,2021-01-08 23:45:40,visa-electron,9106
419,2021-07-13 22:55:21,americanexpress,9885
420,2021-11-16 01:59:09,bankcard,3316
421,2021-02-09 00:06:12,jcb,2351
422,2021-08-29 12:06:46,jcb,3907
423,2021-03-08 23:12:53,jcb,7249
424,2021-09-03 15:11:47,bankcard,7893
425,2021-08-08 10:01:20,mastercard,9361
426,2021-08-26 23:13:52,jcb,3968
427,2021-12-29 06:17:13,switch,1363
428,2021-01-05 18:53:17,instapayment,6228
429,2021-09-10 02:55:58,jcb,2231
430,2021-10-16 23:18:01,maestro,538
431,2021-08-11 19:11:23,jcb,9853
432,2021-05-11 08:33:05,switch,9427
433,2021-01-13 21:19:22,visa,3377
434,2021-08-25 16:29:28,jcb,4214
435,2021-10-07 04:49:54,jcb,4377
436,2021-04-26 22:38:45,jcb,8808
437,2021-06-17 17:48:34,switch,4091
438,2021-06-22 12:26:16,jcb,4669
439,2021-12-26 00:54:48,diners-club-us-ca,909
440,2021-07-26 17:28:31,jcb,4097
441,2021-08-02 20:10:35,diners-club-enroute,4625
442,2021-12-23 12:34:39,maestro,2339
443,2021-06-04 06:32:40,maestro,3190
444,2021-08-20 08:04:18,visa-electron,8549
445,2021-08-21 10:15:21,solo,9320
446,2021-06-06 10:05:58,maestro,9324
447,2021-09-29 17:11:13,jcb,8447
448,2021-12-30 19:29:12,jcb,1334
449,2021-11-23 06:48:42,jcb,2413
450,2021-04-30 04:57:04,china-unionpay,1903
451,2021-05-13 12:42:09,bankcard,6645
452,2021-06-19 07:36:39,jcb,5217
453,2021-11-28 05:32:30,diners-club-enroute,7192
454,2021-04-10 06:36:23,instapayment,6957
455,2021-04-03 20:50:27,jcb,4996
456,2021-02-03 21:15:05,jcb,9391
457,2021-01-01 12:36:02,switch,3315
458,2021-01-29 11:51:40,jcb,6104
459,2021-04-06 23:37:07,visa-electron,6490
460,2021-04-21 17:35:04,mastercard,4100
461,2021-07-09 03:18:21,jcb,4957
462,2021-12-15 03:34:50,jcb,5108
463,2021-09-12 11:25:19,diners-club-enroute,3037
464,2021-10-20 19:24:09,instapayment,8824
465,2021-10-12 21:16:23,americanexpress,9994
466,2021-05-19 02:54:46,jcb,8491
467,2021-05-03 01:25:20,jcb,7649
468,2021-10-26 15:02:38,jcb,1926
469,2021-07-03 21:22:27,visa-electron,2546
470,2021-08-19 02:28:40,jcb,403
471,2021-09-08 13:25:57,maestro,6323
472,2021-02-18 04:33:39,instapayment,2232
473,2021-06-14 07:20:56,visa-electron,2936
474,2021-03-27 20:09:29,visa-electron,5058
475,2021-07-02 14:54:39,mastercard,8475
476,2021-03-30 08:49:53,jcb,9263
477,2021-06-21 14:47:18,jcb,8415
478,2021-02-15 23:03:14,jcb,5633
479,2021-05-10 12:22:43,bankcard,5496
480,2021-05-21 06:07:37,jcb,3296
481,2021-11-14 16:37:43,jcb,6335
482,2021-10-23 01:02:32,mastercard,7070
483,2021-01-06 11:46:25,maestro,1284
484,2021-04-15 14:28:29,jcb,9621
485,2021-05-10 07:04:31,mastercard,9647
486,2021-05-07 01:41:09,diners-club-enroute,9112
487,2021-02-01 21:47:26,switch,6396
488,2021-08-19 18:46:48,jcb,8544
489,2021-08-29 06:45:03,bankcard,4174
490,2021-03-01 19:16:57,bankcard,5893
491,2021-05-21 22:09:25,jcb,7967
492,2021-06-03 19:54:36,maestro,6040
493,2021-08-26 11:47:33,mastercard,2585
494,2021-04-06 00:19:36,switch,6593
495,2021-02-11 06:03:12,jcb,2030
496,2021-09-20 16:07:20,maestro,3570
497,2021-07-04 18:57:20,jcb,8464
498,2021-01-10 17:20:17,mastercard,7733
499,2021-07-26 15:07:43,jcb,5475
500,2021-08-09 07:10:37,maestro,7602
501,2021-09-13 16:19:24,mastercard,1546
502,2021-01-17 13:26:05,jcb,1018
503,2021-06-18 05:43:00,jcb,8417
504,2021-08-10 17:19:58,diners-club-enroute,8172
505,2021-01-12 01:54:11,jcb,6079
506,2021-03-24 12:49:37,jcb,6483
507,2021-02-13 01:40:29,maestro,960
508,2021-11-23 23:08:13,jcb,2423
509,2021-09-08 11:43:31,china-unionpay,2503
510,2021-03-03 04:10:46,china-unionpay,2124
511,2021-12-22 09:28:16,china-unionpay,3335
512,2021-01-13 08:58:36,diners-club-enroute,1796
513,2021-07-18 14:20:45,jcb,2553
514,2021-10-09 16:14:31,china-unionpay,5396
515,2021-09-29 01:48:30,mastercard,1541
516,2021-04-03 08:53:14,jcb,6520
517,2021-08-31 19:42:40,mastercard,8581
518,2021-03-21 05:58:44,instapayment,3843
519,2021-07-16 05:55:25,visa-electron,2687
520,2021-09-02 16:20:55,bankcard,2760
521,2021-08-17 09:00:04,jcb,5987
522,2021-05-24 02:32:57,jcb,2739
523,2021-09-20 19:46:00,mastercard,1314
524,2021-09-22 23:55:03,jcb,8905
525,2021-03-04 15:08:02,jcb,234
526,2021-09-13 22:47:48,diners-club-carte-blanche,6294
527,2021-03-03 16:04:37,china-unionpay,4586
528,2021-12-18 05:57:40,jcb,9134
529,2021-10-17 14:43:51,jcb,6902
530,2021-02-13 00:20:14,jcb,3488
531,2021-02-14 03:04:03,jcb,5138
532,2021-08-01 14:10:13,jcb,1965
533,2021-04-10 07:59:09,maestro,3033
534,2021-08-11 23:29:28,maestro,6213
535,2021-08-27 14:15:14,jcb,3312
536,2021-11-13 11:28:05,jcb,3618
537,2021-02-01 19:18:25,americanexpress,7160
538,2021-08-29 14:29:46,jcb,3226
539,2021-02-05 02:27:48,jcb,6394
540,2021-07-06 10:39:58,mastercard,7694
541,2021-05-03 00:26:21,jcb,919
542,2021-11-06 08:10:06,solo,4607
543,2021-11-23 20:59:18,maestro,2555
544,2021-03-18 10:09:44,jcb,3744
545,2021-05-07 22:14:16,jcb,4722
546,2021-12-13 13:03:53,maestro,3758
547,2021-02-03 15:49:32,jcb,2168
548,2021-08-30 13:59:25,china-unionpay,5502
549,2021-10-01 23:48:51,maestro,715
550,2021-05-10 14:12:33,bankcard,1003
551,2021-02-24 09:50:43,jcb,1618
552,2021-01-07 09:09:14,maestro,1270
553,2021-04-09 22:41:39,china-unionpay,9168
554,2021-12-27 09:07:53,bankcard,6192
555,2021-11-18 19:14:36,jcb,7131
556,2021-12-19 22:24:11,americanexpress,1777
557,2021-04-03 04:41:34,visa-electron,1812
558,2021-02-09 20:25:55,jcb,5980
559,2021-10-14 11:07:43,americanexpress,7726
560,2021-12-20 08:02:05,mastercard,6263
561,2021-01-16 18:43:23,visa,9796
562,2021-10-01 01:11:02,maestro,1674
563,2021-05-07 20:48:41,mastercard,7331
564,2021-01-23 07:52:10,jcb,3930
565,2021-04-26 14:14:21,mastercard,1789
566,2021-10-12 20:18:46,jcb,5199
567,2021-01-01 16:19:48,jcb,6717
568,2021-02-15 03:24:52,jcb,1277
569,2021-06-13 11:28:07,jcb,6425
570,2021-08-27 09:21:01,china-unionpay,2585
571,2021-08-22 03:20:23,visa-electron,6335
572,2021-04-25 19:59:55,solo,273
573,2021-09-06 17:15:30,solo,3299
574,2021-12-28 04:13:45,jcb,5746
575,2021-01-07 16:21:22,jcb,7199
576,2021-12-26 04:31:21,china-unionpay,6846
577,2021-02-04 01:15:52,diners-club-enroute,6716
578,2021-04-01 16:52:54,bankcard,6483
579,2021-04-16 18:53:25,jcb,876
580,2021-03-27 09:24:53,instapayment,2558
581,2021-07-20 19:37:32,mastercard,5440
582,2021-08-23 11:51:06,maestro,4748
583,2021-12-01 12:20:54,jcb,9818
584,2021-05-15 06:23:59,jcb,2625
585,2021-07-20 23:27:38,instapayment,1375
586,2021-05-22 17:38:56,diners-club-international,3884
587,2021-05-01 16:08:00,visa,6897
588,2021-02-12 00:34:51,jcb,853
589,2021-09-02 11:40:45,jcb,8143
590,2021-02-27 03:52:23,jcb,6612
591,2021-07-07 05:43:05,jcb,1380
592,2021-05-30 00:35:39,china-unionpay,7991
593,2021-03-11 10:42:04,mastercard,841
594,2021-04-04 20:46:55,mastercard,7333
595,2021-03-27 22:55:42,china-unionpay,5347
596,2021-11-19 01:37:47,visa,7995
597,2021-05-28 20:37:55,americanexpress,5728
598,2021-03-04 17:00:35,jcb,5583
599,2021-08-05 05:29:15,mastercard,8601
600,2021-05-22 15:24:59,jcb,2629
601,2021-01-02 22:38:42,jcb,7808
602,2021-12-26 16:44:55,switch,221
603,2021-01-04 02:10:58,diners-club-us-ca,7711
604,2021-09-27 15:36:46,jcb,6657
605,2021-10-24 03:20:36,bankcard,3036
606,2021-06-29 18:32:53,jcb,2559
607,2021-07-01 00:05:24,maestro,9879
608,2021-10-25 20:15:22,china-unionpay,476
609,2021-10-16 21:35:07,mastercard,2781
610,2021-01-14 21:33:39,instapayment,2077
611,2021-11-19 21:26:43,visa-electron,4142
612,2021-07-26 16:59:25,jcb,2963
