nation_or_region_name,type,sequence_num,longitude,latitude,part
East Midlands,region,173,-1.138718,53.341363,1
East Midlands,region,174,-1.162613,53.356824,1
East Midlands,region,175,-1.138539,53.355888,1
East Midlands,region,176,-1.146033,53.369022,1
East Midlands,region,177,-1.116083,53.40733,1
East Midlands,region,178,-1.080439,53.426848,1
East Midlands,region,179,-1.014346,53.426275,1
East Midlands,region,180,-0.985976,53.471653,1
East Midlands,region,181,-0.935561,53.502496,1
East Midlands,region,182,-0.900468,53.475135,1
East Midlands,region,183,-0.916246,53.460275,1
East Midlands,region,184,-0.871916,53.46629,1
East Midlands,region,185,-0.79748,53.455044,1
East Midlands,region,186,-0.739589,53.519915,1
East Midlands,region,187,-0.624489,53.512818,1
East Midlands,region,188,-0.62975,53.458197,1
East Midlands,region,189,-0.551786,53.459498,1
East Midlands,region,190,-0.471747,53.474851,1
East Midlands,region,191,-0.487636,53.505224,1
East Midlands,region,192,-0.405071,53.517595,1
East Midlands,region,193,-0.430662,53.546316,1
East Midlands,region,194,-0.501255,53.53744,1
East Midlands,region,195,-0.490924,53.545854,1
East Midlands,region,196,-0.428997,53.574504,1
East Midlands,region,197,-0.416959,53.563194,1
East Midlands,region,198,-0.335935,53.558605,1
East Midlands,region,199,-0.30342,53.590768,1
East Midlands,region,200,-0.300925,53.616366,1
East Midlands,region,201,-0.248472,53.593641,1
East Midlands,region,202,-0.251391,53.584631,1
East Midlands,region,203,-0.234665,53.586228,1
East Midlands,region,204,-0.222555,53.567994,1
East Midlands,region,205,-0.191688,53.568442,1
East Midlands,region,206,-0.219878,53.532583,1
East Midlands,region,207,-0.210601,53.486264,1
East Midlands,region,208,-0.153677,53.465653,1
East Midlands,region,209,-0.131877,53.435915,1
East Midlands,region,210,-0.082207,53.451126,1
East Midlands,region,211,-0.107817,53.469838,1
East Midlands,region,212,-0.075258,53.489311,1
East Midlands,region,213,-0.065041,53.518714,1
East Midlands,region,214,-0.014794,53.515343,1
East Midlands,region,215,0.029013,53.533865,1
East Midlands,region,216,0.149878,53.495347,1
East Midlands,region,217,0.234496,53.409588,1
East Midlands,region,218,0.339546,53.241753,1
East Midlands,region,219,0.357368,53.190066,1
East of England,region,0,1.768663,52.482886,1
East of England,region,1,1.734547,52.447943,1
East of England,region,2,1.728195,52.400626,1
East of England,region,3,1.677553,52.312871,1
East of England,region,4,1.634473,52.278997,1
East of England,region,5,1.623379,52.188462,1
East of England,region,6,1.582255,52.089989,1
East of England,region,7,1.462466,52.046626,1
East of England,region,8,1.429588,52.004102,1
East of England,region,9,1.320268,51.931764,1
East of England,region,10,1.293961,51.961011,1
East of England,region,11,1.219851,51.952287,1
East of England,region,12,1.290382,51.949663,1
East of England,region,13,1.296699,51.935617,1
East of England,region,14,1.273056,51.92775,1
East of England,region,15,1.253652,51.892377,1
East of England,region,16,1.271101,51.892067,1
East of England,region,17,1.290477,51.862553,1
East of England,region,18,1.216496,51.807816,1
East of England,region,19,1.119409,51.771545,1
East of England,region,20,1.051793,51.767521,1
East of England,region,21,1.005566,51.800222,1
East of England,region,22,0.994869,51.775085,1
East of England,region,23,0.909818,51.770493,1
East of England,region,24,0.868419,51.747139,1
East of England,region,25,0.87916,51.737398,1
East of England,region,26,0.90371,51.747627,1
East of England,region,27,0.957273,51.74446,1
East of England,region,28,0.982161,51.69779,1
East of England,region,29,0.970329,51.642815,1
East of England,region,30,0.899773,51.616894,1
East of England,region,31,0.947487,51.621796,1
East of England,region,32,1.046254,51.656481,1
East of England,region,33,1.083637,51.649078,1
East of England,region,34,1.054844,51.634788,1
East of England,region,35,1.053703,51.644469,1
East of England,region,36,1.027751,51.640748,1
East of England,region,37,1.040264,51.632779,1
East of England,region,38,1.006131,51.629139,1
East of England,region,39,1.038691,51.623749,1
East of England,region,40,1.007735,51.620185,1
East of England,region,41,1.021352,51.616363,1
East of England,region,42,0.994444,51.602109,1
East of England,region,43,1.013651,51.602737,1
East of England,region,44,0.954357,51.576517,1
East of England,region,45,0.987069,51.58086,1
East of England,region,46,0.928493,51.569273,1
East of England,region,47,0.992205,51.571587,1
East of England,region,48,0.981839,51.557267,1
East of England,region,49,0.908474,51.558632,1
East of England,region,50,0.931306,51.557475,1
East of England,region,51,0.912377,51.551057,1
East of England,region,52,0.952944,51.538247,1
East of England,region,53,0.879669,51.540173,1
East of England,region,54,0.930352,51.536579,1
East of England,region,55,0.939153,51.525008,1
East of England,region,56,0.893349,51.521861,1
East of England,region,57,0.906483,51.531709,1
East of England,region,58,0.872271,51.535596,1
East of England,region,59,0.888113,51.52615,1
East of England,region,60,0.852628,51.524056,1
East of England,region,61,0.879092,51.514014,1
East of England,region,62,0.847086,51.509179,1
East of England,region,63,0.838837,51.522191,1
East of England,region,64,0.841419,51.507981,1
East of England,region,65,0.822242,51.505868,1
East of England,region,66,0.820676,51.515736,1
East of England,region,67,0.801979,51.504456,1
East of England,region,68,0.782099,51.506371,1
East of England,region,69,0.793563,51.516492,1
East of England,region,70,0.774069,51.522513,1
East of England,region,71,0.773501,51.50618,1
East of England,region,72,0.759153,51.519552,1
East of England,region,73,0.753078,51.508884,1
East of England,region,74,0.698291,51.525325,1
East of England,region,75,0.677649,51.521839,1
East of England,region,76,0.677893,51.503682,1
East of England,region,77,0.474105,51.495688,1
East of England,region,78,0.442024,51.456411,1
East of England,region,79,0.412033,51.449154,1
East of England,region,80,0.339973,51.449875,1
East of England,region,81,0.313385,51.470107,1
East of England,region,82,0.275719,51.45767,1
East of England,region,83,0.210307,51.485877,1
East of England,region,84,0.213046,51.495021,1
East of England,region,85,0.241891,51.507959,1
East of England,region,86,0.248937,51.528673,1
East of England,region,87,0.263655,51.517869,1
East of England,region,88,0.265319,51.532149,1
East of England,region,89,0.333874,51.542492,1
East of England,region,90,0.313007,51.565816,1
East of England,region,91,0.290262,51.564298,1
East of England,region,92,0.252768,51.617426,1
East of England,region,93,0.22406,51.631734,1
East of England,region,94,0.136079,51.6236,1
East of England,region,95,0.072805,51.604686,1
East of England,region,96,0.021793,51.628831,1
East of England,region,97,0.022693,51.641114,1
East of England,region,98,-0.012286,51.646227,1
East of England,region,99,-0.011092,51.680867,1
East of England,region,100,-0.104874,51.691848,1
East of England,region,101,-0.163518,51.688111,1
East of England,region,102,-0.191092,51.663893,1
East of England,region,103,-0.203378,51.670123,1
East of England,region,104,-0.250607,51.656054,1
East of England,region,105,-0.257357,51.641829,1
East of England,region,106,-0.316696,51.640532,1
East of England,region,107,-0.399487,51.613404,1
East of England,region,108,-0.440597,51.62007,1
East of England,region,109,-0.457152,51.612291,1
East of England,region,110,-0.497064,51.631695,1
East of England,region,111,-0.496707,51.601376,1
East of England,region,112,-0.517741,51.60022,1
East of England,region,113,-0.536968,51.660411,1
East of England,region,114,-0.505129,51.673073,1
East of England,region,115,-0.548718,51.682667,1
East of England,region,116,-0.563232,51.711874,1
East of England,region,117,-0.550105,51.730569,1
East of England,region,118,-0.586403,51.752109,1
East of England,region,119,-0.61296,51.747421,1
East of England,region,120,-0.669689,51.766153,1
East of England,region,121,-0.685419,51.800178,1
East of England,region,122,-0.745789,51.84181,1
East of England,region,123,-0.696382,51.858126,1
East of England,region,124,-0.667239,51.815802,1
East of England,region,125,-0.632965,51.819938,1
East of England,region,126,-0.58185,51.806897,1
East of England,region,127,-0.560637,51.830103,1
East of England,region,128,-0.537654,51.831402,1
East of England,region,129,-0.583589,51.870315,1
East of England,region,130,-0.702181,51.90911,1
East of England,region,131,-0.645704,51.972219,1
East of England,region,132,-0.661712,51.999726,1
East of England,region,133,-0.643499,52.010844,1
East of England,region,134,-0.643069,52.037239,1
East of England,region,135,-0.668997,52.048706,1
East of England,region,136,-0.59183,52.11068,1
East of England,region,137,-0.607269,52.133858,1
East of England,region,138,-0.635471,52.139243,1
East of England,region,139,-0.627465,52.181533,1
East of England,region,140,-0.667963,52.19406,1
East of England,region,141,-0.637349,52.227304,1
East of England,region,142,-0.653671,52.268275,1
East of England,region,143,-0.603353,52.278788,1
East of England,region,144,-0.56571,52.253455,1
East of England,region,145,-0.540404,52.256821,1
East of England,region,146,-0.541986,52.289928,1
East of England,region,147,-0.519847,52.317678,1
East of England,region,148,-0.4647,52.324745,1
East of England,region,149,-0.498716,52.36008,1
East of England,region,150,-0.495963,52.3795,1
East of England,region,151,-0.441527,52.384981,1
East of England,region,152,-0.41709,52.411583,1
East of England,region,153,-0.362426,52.433514,1
East of England,region,154,-0.341608,52.466925,1
East of England,region,155,-0.354362,52.506477,1
East of England,region,156,-0.413618,52.525662,1
East of England,region,157,-0.401299,52.538667,1
East of England,region,158,-0.415395,52.578725,1
East of England,region,159,-0.478828,52.573627,1
East of England,region,160,-0.497664,52.586833,1
East of England,region,161,-0.470973,52.617935,1
East of England,region,162,-0.494785,52.640296,1
East of England,region,163,-0.484331,52.64611,1
East of England,region,164,-0.452706,52.654259,1
East of England,region,165,-0.405693,52.648028,1
East of England,region,166,-0.334998,52.674852,1
East of England,region,167,-0.289253,52.670257,1
East of England,region,168,-0.260642,52.651394,1
East of England,region,169,-0.206052,52.668054,1
East of England,region,170,-0.192882,52.652419,1
East of England,region,171,-0.180035,52.660542,1
East of England,region,172,-0.141078,52.651488,1
East of England,region,173,-0.102212,52.672187,1
East of England,region,174,-0.06373,52.675214,1
East of England,region,175,-0.031287,52.661514,1
East of England,region,176,0.021484,52.664868,1
East of England,region,177,0.048833,52.681751,1
East of England,region,178,0.044135,52.714363,1
East of England,region,179,0.063612,52.727371,1
East of England,region,180,0.089009,52.723612,1
East of England,region,181,0.142062,52.739899,1
East of England,region,182,0.186308,52.735329,1
East of England,region,183,0.272194,52.772785,1
East of England,region,184,0.245069,52.784503,1
East of England,region,185,0.272995,52.824206,1
East of England,region,186,0.217903,52.828218,1
East of England,region,187,0.21106,52.846927,1
East of England,region,188,0.252138,52.857167,1
East of England,region,189,0.28692,52.837425,1
East of England,region,190,0.29036,52.85258,1
East of England,region,191,0.333075,52.831747,1
East of England,region,192,0.308276,52.876786,1
East of England,region,193,0.348851,52.89167,1
East of England,region,194,0.352466,52.810117,1
East of England,region,195,0.37022,52.789949,1
East of England,region,196,0.360413,52.850956,1
East of England,region,197,0.436357,52.889343,1
East of England,region,198,0.499653,52.961366,1
East of England,region,199,0.533307,52.977329,1
East of England,region,200,0.628714,52.977114,1
East of England,region,201,0.664108,52.989215,1
East of England,region,202,0.806646,52.977143,1
East of England,region,203,0.859529,52.990039,1
East of England,region,204,0.933602,52.974412,1
East of England,region,205,0.962102,52.982839,1
East of England,region,206,1.131187,52.950596,1
East of England,region,207,1.302911,52.933246,1
East of England,region,208,1.416099,52.890774,1
East of England,region,209,1.586495,52.802066,1
East of England,region,210,1.697852,52.723789,1
East of England,region,211,1.743859,52.634761,1
East of England,region,212,1.733564,52.552998,1
East of England,region,213,1.768663,52.482886,1
London,region,0,0.333874,51.542492,1
London,region,1,0.265319,51.532149,1
London,region,2,0.263655,51.517869,1
London,region,3,0.250824,51.528818,1
London,region,4,0.237148,51.519333,1
London,region,5,0.203353,51.454355,1
London,region,6,0.153737,51.427523,1
London,region,7,0.162358,51.39249,1
London,region,8,0.147715,51.392801,1
London,region,9,0.142593,51.350735,1
London,region,10,0.085001,51.316023,1
London,region,11,0.091069,51.296762,1
London,region,12,0.05863,51.289364,1
London,region,13,0.032881,51.307521,1
London,region,14,0.014982,51.291787,1
London,region,15,0.002266,51.329138,1
London,region,16,-0.037918,51.338705,1
London,region,17,-0.12432,51.28676,1
London,region,18,-0.155344,51.301276,1
London,region,19,-0.163102,51.330266,1
London,region,20,-0.197344,51.343597,1
London,region,21,-0.215924,51.329862,1
London,region,22,-0.22923,51.33589,1
London,region,23,-0.217803,51.345633,1
London,region,24,-0.246112,51.38019,1
London,region,25,-0.328314,51.326464,1
London,region,26,-0.307389,51.378385,1
London,region,27,-0.317295,51.393355,1
London,region,28,-0.359065,51.411881,1
London,region,29,-0.389198,51.41032,1
London,region,30,-0.391385,51.422335,1
London,region,31,-0.456488,51.438107,1
London,region,32,-0.458661,51.456315,1
London,region,33,-0.510375,51.468087,1
London,region,34,-0.483194,51.506646,1
London,region,35,-0.495508,51.538543,1
London,region,36,-0.476617,51.558029,1
London,region,37,-0.499576,51.592181,1
London,region,38,-0.499139,51.630585,1
London,region,39,-0.457152,51.612291,1
London,region,40,-0.440597,51.62007,1
London,region,41,-0.399487,51.613404,1
London,region,42,-0.316696,51.640532,1
London,region,43,-0.257357,51.641829,1
London,region,44,-0.250607,51.656054,1
London,region,45,-0.203378,51.670123,1
London,region,46,-0.191092,51.663893,1
London,region,47,-0.163518,51.688111,1
London,region,48,-0.011092,51.680867,1
London,region,49,-0.012286,51.646227,1
London,region,50,0.022693,51.641114,1
London,region,51,0.021793,51.628831,1
London,region,52,0.072805,51.604686,1
London,region,53,0.136079,51.6236,1
London,region,54,0.22406,51.631734,1
London,region,55,0.264078,51.608875,1
London,region,56,0.253983,51.601596,1
London,region,57,0.269852,51.599572,1
London,region,58,0.290262,51.564298,1
London,region,59,0.313007,51.565816,1
London,region,60,0.333874,51.542492,1
North East,region,0,-0.790776,54.562789,1
North East,region,1,-0.84863,54.52999,1
North East,region,2,-0.844123,54.489536,1
North East,region,3,-0.894196,54.496899,1
North East,region,4,-0.952935,54.488022,1
North East,region,5,-1.003385,54.502999,1
North East,region,6,-1.036836,54.494031,1
North East,region,7,-1.094509,54.506747,1
North East,region,8,-1.118474,54.49818,1
North East,region,9,-1.230591,54.511869,1
North East,region,10,-1.25739,54.487309,1
North East,region,11,-1.280965,54.490431,1
North East,region,12,-1.343896,54.464139,1
North East,region,13,-1.37255,54.472296,1
North East,region,14,-1.380999,54.494018,1
North East,region,15,-1.395039,54.485669,1
North East,region,16,-1.406888,54.493617,1
North East,region,17,-1.417876,54.477075,1
North East,region,18,-1.461583,54.504285,1
North East,region,19,-1.475588,54.498328,1
North East,region,20,-1.458463,54.492828,1
North East,region,21,-1.461721,54.451138,1
North East,region,22,-1.475455,54.473896,1
North East,region,23,-1.49878,54.475332,1
North East,region,24,-1.491766,54.486189,1
North East,region,25,-1.511331,54.475001,1
North East,region,26,-1.528828,54.484803,1
North East,region,27,-1.519823,54.471036,1
North East,region,28,-1.545664,54.471227,1
North East,region,29,-1.591872,54.50429,1
North East,region,30,-1.58106,54.512835,1
North East,region,31,-1.63332,54.514101,1
North East,region,32,-1.657928,54.534578,1
North East,region,33,-1.720307,54.542338,1
North East,region,34,-1.733082,54.527726,1
North East,region,35,-1.779687,54.531863,1
North East,region,36,-1.792968,54.484482,1
North East,region,37,-1.839425,54.508428,1
North East,region,38,-1.857793,54.50353,1
North East,region,39,-1.859123,54.481848,1
North East,region,40,-1.942537,54.453385,1
North East,region,41,-1.970053,54.451512,1
North East,region,42,-2.044723,54.475177,1
North East,region,43,-2.043191,54.48359,1
North East,region,44,-2.170207,54.458189,1
North East,region,45,-2.172392,54.532435,1
North East,region,46,-2.197525,54.532695,1
North East,region,47,-2.209483,54.551705,1
North East,region,48,-2.304509,54.59619,1
North East,region,49,-2.324932,54.631642,1
North East,region,50,-2.287973,54.650472,1
North East,region,51,-2.292869,54.663878,1
North East,region,52,-2.351763,54.685923,1
North East,region,53,-2.30848,54.773536,1
North East,region,54,-2.327083,54.805157,1
North East,region,55,-2.389728,54.831989,1
North East,region,56,-2.411617,54.856424,1
North East,region,57,-2.523329,54.806068,1
North East,region,58,-2.577946,54.836447,1
North East,region,59,-2.573347,54.853539,1
North East,region,60,-2.605424,54.884375,1
North East,region,61,-2.545266,54.929165,1
North East,region,62,-2.601423,54.971334,1
North East,region,63,-2.573304,54.987632,1
North East,region,64,-2.572845,55.016393,1
North East,region,65,-2.483043,55.040014,1
North East,region,66,-2.503978,55.062425,1
North East,region,67,-2.486079,55.082439,1
North East,region,68,-2.502567,55.090754,1
North East,region,69,-2.56213,55.083458,1
North East,region,70,-2.598896,55.124572,1
North East,region,71,-2.656934,55.136128,1
North East,region,72,-2.689785,55.188981,1
North East,region,73,-2.666809,55.221578,1
North East,region,74,-2.631408,55.223695,1
North East,region,75,-2.630223,55.244789,1
North East,region,76,-2.611445,55.247132,1
North East,region,77,-2.646766,55.260041,1
North East,region,78,-2.573357,55.296882,1
North East,region,79,-2.559002,55.317851,1
North East,region,80,-2.520264,55.323045,1
North East,region,81,-2.475387,55.354738,1
North East,region,82,-2.41499,55.35892,1
North East,region,83,-2.378905,55.349167,1
North East,region,84,-2.337523,55.367189,1
North East,region,85,-2.335622,55.408207,1
North East,region,86,-2.313246,55.406788,1
North East,region,87,-2.260604,55.432933,1
North East,region,88,-2.231274,55.428428,1
North East,region,89,-2.165513,55.468381,1
North East,region,90,-2.201328,55.475267,1
North East,region,91,-2.240299,55.555628,1
North East,region,92,-2.288804,55.580308,1
North East,region,93,-2.30862,55.628877,1
North East,region,94,-2.335999,55.632483,1
North East,region,95,-2.305783,55.647045,1
North East,region,96,-2.234362,55.641043,1
North East,region,97,-2.248339,55.652151,1
North East,region,98,-2.167223,55.706038,1
North East,region,99,-2.176512,55.71884,1
North East,region,100,-2.150567,55.723157,1
North East,region,101,-2.144011,55.739352,1
North East,region,102,-2.117629,55.738778,1
North East,region,103,-2.107633,55.759891,1
North East,region,104,-2.08563,55.762044,1
North East,region,105,-2.086114,55.793049,1
North East,region,106,-2.033193,55.811668,1
North East,region,107,-1.93607,55.720952,1
North East,region,108,-1.777478,55.6868,1
North East,region,109,-1.776742,55.6668,1
North East,region,110,-1.812092,55.663306,1
North East,region,111,-1.791413,55.66261,1
North East,region,112,-1.749664,55.624697,1
North East,region,113,-1.64238,55.584215,1
North East,region,114,-1.61733,55.552625,1
North East,region,115,-1.631633,55.536235,1
North East,region,116,-1.606821,55.521638,1
North East,region,117,-1.590486,55.437724,1
North East,region,118,-1.568848,55.427202,1
North East,region,119,-1.60219,55.369731,1
North East,region,120,-1.541133,55.320853,1
North East,region,121,-1.567875,55.289398,1
North East,region,122,-1.564114,55.26549,1
North East,region,123,-1.496047,55.186199,1
North East,region,124,-1.521811,55.157603,1
North East,region,125,-1.486683,55.116502,1
North East,region,126,-1.491439,55.10009,1
North East,region,127,-1.447658,55.072776,1
North East,region,128,-1.450517,55.05519,1
North East,region,129,-1.402745,55.01454,1
North East,region,130,-1.432842,55.009155,1
North East,region,131,-1.400891,55.011299,1
North East,region,132,-1.407076,54.997539,1
North East,region,133,-1.354264,54.964404,1
North East,region,134,-1.359054,54.889357,1
North East,region,135,-1.295551,54.764297,1
North East,region,136,-1.227177,54.716883,1
North East,region,137,-1.177364,54.701165,1
North East,region,138,-1.198243,54.683405,1
North East,region,139,-1.161643,54.648462,1
North East,region,140,-1.08852,54.622975,1
North East,region,141,-1.041313,54.621864,1
North East,region,142,-1.036373,54.60834,1
North East,region,143,-0.98067,54.590403,1
North East,region,144,-0.790776,54.562789,1
North West,region,0,-3.123087,54.073293,1
North West,region,1,-3.129278,54.059259,1
North West,region,2,-3.124443,54.071977,1
North West,region,3,-3.123087,54.073293,1
North West,region,0,-1.909622,53.538375,2
North West,region,1,-1.921975,53.509938,2
North West,region,2,-1.971589,53.504325,2
North West,region,3,-1.985795,53.45521,2
North West,region,4,-2.027431,53.43223,2
North West,region,5,-2.023711,53.420536,2
North West,region,6,-1.992332,53.415177,2
North West,region,7,-2.004644,53.386311,2
North West,region,8,-2.033851,53.375153,2
North West,region,9,-2.004661,53.345994,2
North West,region,10,-2.009484,53.260636,2
North West,region,11,-1.974862,53.231043,2
North West,region,12,-2.000108,53.193798,2
North West,region,13,-2.046421,53.192664,2
North West,region,14,-2.078224,53.17041,2
North West,region,15,-2.113702,53.168991,2
North West,region,16,-2.14044,53.183795,2
North West,region,17,-2.141412,53.156635,2
North West,region,18,-2.155646,53.159601,2
North West,region,19,-2.246509,53.0902,2
North West,region,20,-2.318051,53.081342,2
North West,region,21,-2.347585,53.056154,2
